Parameters;Mean Accuracy;Test on (200, 6, 0.2, 0.8, 1.0, 0.7)
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.534357578114871;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5252819914430182;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5278101905873201;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5324128095423312;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.540127058213406;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5275508881109815;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.53740438221185;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5257357707766109;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5223648385842085;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5237910022040712;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5129651238169325;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5377285103072734;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5370802541164268;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5336444963049397;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5348761830675484;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5385064177362894;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5363671723064956;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.534357578114871;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5307273434461298;
